
IID	Rust
PPN250	1
PPN248	1
PPN247	2
PPN240	1
PPN239	1
PPN238	1
PPN237	1
PPN236	1
PPN235	1
PPN230	1
PPN228	1
PPN227	1
PPN188	2
PPN187	2
PPN185	2
PPN184	1
PPN182	1
PPN181	1
PPN180	2
PPN179	1
PPN178	2
PPN177	1
PPN176	1
PPN175	2
PPN174	2
PPN173	2
PPN172	2
PPN171	1
PPN169	1
PPN168	1
PPN167	1
PPN166	1
PPN165	1
PPN147	1
PPN146	1
PPN145	2
PPN144	1
PPN143	1
PPN134	1
PPN133	2
PPN132	1
PPN131	2
PPN130	1
PPN129	1
PPN116	1
PPN115	1
PPN114	1
PPN113	1
PPN112	1
PPN111	1
PPN110	1
PPN109	2
PPN108	1
PPN107	1
PPN106	1
PPN105	2
PPN104	2
PPN103	1
PPN102	1
PPN101	1
PPN100	1
PPN099	1
PPN098	1
PPN097	1
PPN095	1
PPN092	1
PPN091	1
PPN089	1
PPN080	1
PPN078	1
PPN077	2
PPN076	1
PPN072	1
PPN071	2
PPN070	1
PPN065	2
PPN059	1
PPN058	1
PPN057	1
PPN056	1
PPN045	2
PPN043	1
PPN039	1
PPN037	2
PPN029	1
PPN028	1
PPN027	1
PPN026	2
PPN025	1
PPN024	1
PPN023	1
PPN007	2
PPN006	1
PPN005	1
PPN004	1
PPN003	1
PPN002	2
PPN001	2
